Date,Unemployment_Rate,GDP_Growth,Inflation,Retail_Sales,Consumer_Spending,PC1,PC2,Cluster
2007-01-01,-0.5957722061943955,-0.16099237393155297,-1.4389626438997278,-1.0005979204770272,9538.7,-3642.733564275659,-0.31068612602663753,2
2007-04-01,-0.6387968790589856,0.0615908786532824,-1.3567819185839811,-0.978334275687321,9643.6,-3537.83352322148,-0.5238660375652735,2
2007-07-01,-0.5527475333298051,0.027347301332538473,-1.3001848159040237,-0.9486580754950521,9751.1,-3430.3335269103063,-0.46230594520416873,2
2007-10-01,-0.5527475333298051,0.0615908786532824,-1.2473186581917861,-0.8995152578437169,9882.7,-3298.7335083702824,-0.48365127518329526,2
2008-01-01,-0.4236735147360343,-0.6575242450823394,-1.147915624408977,-0.8999742127927073,9996.4,-3185.0335536117673,0.2603991911687891,2
2008-04-01,-0.4236735147360343,0.04446908999291044,-1.0890199931328355,-0.9230431936249817,10070.3,-3111.133513688653,-0.4149461982482564,2
2008-07-01,-0.07947613181931237,-0.7260113997238273,-0.9199948612916926,-0.9016887992059169,10185.1,-2996.333572978843,0.42475878162607644,2
2008-10-01,0.2216965782328195,-1.821805873987632,-0.9873184307538425,-1.0929604390795193,10034.1,-3147.3337549386342,1.5471076176178045,2
2009-01-01,0.7810173254724928,-1.1369343275727541,-1.1559438184913022,-1.231694726584725,9847.2,-3334.233902337205,0.9676751901219411,2
2009-04-01,1.2973133998475759,-0.48630635847861997,-1.130093699786389,-1.279988910556795,9772.5,-3408.933964137328,0.4302969809305903,2
2009-07-01,1.5124367641705272,-0.12674879661080907,-1.0629033783588002,-1.2006243424908059,9886.3,-3295.1339524450805,0.13103256685257808,2
2009-10-01,1.7275601284934785,0.3869048632003495,-1.003508066953054,-1.19077845990586,9976.7,-3204.7339549022845,-0.31809124399231015,2
2010-01-01,1.6415107827642983,-0.041139853308949315,-0.9708956104941494,-1.1541053616233217,10056.1,-3125.3339487408302,0.09052811277755853,2
2010-04-01,1.6845354556288883,0.3012959198984897,-0.9737271312285796,-1.0548238806766153,10182.3,-2999.133923049471,-0.22982099583900423,2
2010-07-01,1.469412091305937,0.16432161061551412,-0.9669981054832286,-1.0776590542707247,10268.1,-2913.3339054504713,-0.12928883046651013,2
2010-10-01,1.469412091305937,-0.006896275988205382,-0.9193619331275258,-1.0018708709959254,10386.4,-2795.0338891850965,0.04752786645512817,2
2011-01-01,1.340338072712166,-0.5205499357993639,-0.8476744905334889,-0.9293733081101141,10514.3,-2667.1338609748786,0.5362150037058347,2
2011-04-01,1.340338072712166,0.09583445597402633,-0.7508697934246282,-0.8558192828888909,10652.1,-2529.3337896169396,-0.05222413941298539,2
2011-07-01,1.2973133998475759,-0.3835756265163883,-0.7074975581748899,-0.8341531454856062,10731.6,-2449.8337958492443,0.41640684014417834,2
2011-10-01,1.2112640541183957,0.4211484405210933,-0.6623597864672139,-0.7733979016720787,10802.9,-2378.5337106167044,-0.38122468997299924,2
2012-01-01,0.9961406897954445,0.21568697659662994,-0.6259830730319497,-0.7247659961337705,10896.8,-2284.6336645237293,-0.21461871897978288,2
2012-04-01,0.9531160169308536,-0.05826164196932124,-0.581178421410677,-0.6857721445242616,11018.5,-2162.9336589720356,0.05603634297782406,2
2012-07-01,0.9531160169308536,-0.2637231058937846,-0.6010656905689671,-0.7079838321499312,11016.8,-2164.633683577214,0.25660388605115536,2
2012-10-01,0.7810173254724928,-0.2808448945541566,-0.4995306882331757,-0.6384478276142093,11137.4,-2044.0336107918672,0.25273383432425295,2
2013-01-01,0.8670666712016734,0.31841770855886165,-0.4981648958789214,-0.5806195040414133,11252.4,-1929.0335903855553,-0.3090193763925489,2
2013-04-01,0.6949679797433121,-0.1781141625919249,-0.4942340788593601,-0.5836070409735209,11281.1,-1900.3335873973651,0.14547522603380791,2
2013-07-01,0.5658939611495415,0.2328087652570019,-0.4574909333290521,-0.5287056376414565,11372.6,-1808.8335222738256,-0.27410675065507617,2
2013-10-01,0.5228692882849514,0.2328087652570019,-0.4318739986846216,-0.5188597550565105,11498.0,-1683.4335183887947,-0.27073530811813457,2
2014-01-01,0.2647212510974096,-0.6061588791012237,-0.3779418566958926,-0.5208687653992612,11578.8,-1602.6335071901315,0.5090625853372569,2
2014-04-01,0.09262255963904881,0.541000961143697,-0.33863368650027853,-0.3951757260672556,11762.3,-1419.133382045052,-0.6340048814211038,2
2014-07-01,0.09262255963904881,0.48963559516258115,-0.3043223176007165,-0.37248776443791665,11904.4,-1277.0333842027726,-0.5706294260860353,2
2014-10-01,-0.12250080468390247,-0.024018064648577347,-0.3065875341882598,-0.33832592908381665,12064.7,-1116.7333805087414,-0.09867908908217289,1
2015-01-01,-0.12250080468390247,0.24993055391737387,-0.39596365337032263,-0.3727042526214027,12066.7,-1114.7334067040797,-0.37006698389470943,1
2015-04-01,-0.25157482327767317,0.0615908786532824,-0.34682844062580437,-0.31345576656493823,12209.1,-972.3333746695403,-0.1989011811102919,1
2015-07-01,-0.33762416900685377,-0.09250521929006514,-0.28646708096948803,-0.25131499837710003,12364.9,-816.5333461088222,-0.05108889546690178,1
2015-10-01,-0.4236735147360343,-0.24660131723341272,-0.2964939955702334,-0.2793545479022143,12394.9,-786.5333542176269,0.0859622805752205,1
2016-01-01,-0.509722860465215,0.027347301332538473,-0.2991922682701025,-0.27527591052533695,12478.0,-703.4333332201961,-0.19197092037670568,1
2016-04-01,-0.38064884187144427,-0.143870585271181,-0.25455417669203134,-0.2331732886009683,12611.5,-569.9333556347036,0.012864975760323326,1
